Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
84.61.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.61.90 from any other heading, except from tariff item 84.66.93.aa",0
84.62.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.10 from any other heading, except from more than one of the following: tariff item 84.66.94.aa, tariff item 84.83.50.aa.",0
84.62.21,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.21 from any other heading, except from more than four of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.94.aa, tariff item 84.83.50.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.62.29,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.29 from any other heading, except from more than one of the following: tariff item 84.66.94.aa, tariff item 84.83.50.aa.",0
84.62.31,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.31 from any other heading, except from more than four of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.94.aa, tariff item 84.83.50.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.62.39,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.39 from any other heading, except from more than one of the following: tariff item 84.66.94.aa, tariff item 84.83.50.aa.",0
84.62.41,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.41 from any other heading, except from more than four of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.94.aa, tariff item 84.83.50.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.62.49,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.49 from any other heading, except from more than one of the following: tariff item 84.66.94.aa, tariff item 84.83.50.aa.",0
84.62.91.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.62.91. aa from any other heading, except from more than four of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.94. aa, tariff item 84.83.50. aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.62.91,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.91 from any other heading, except from more than one of the following: tariff item 84.66.94.aa, tariff item 84.83.50. aa.",0
84.62.99.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.62.99.aa from any other heading, except from more than four of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.94. aa, tariff item 84.83.50. aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.62.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.62.99 from any other heading, except from more than one of the following: tariff item 84.66.94.aa, tariff item 84.83.50. aa.",0
84.63,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.63 from any other heading, except from more than two of the following: tariff item 84.66.94. aa, tariff item 84.83.50. aa, subheading 85.01.32 or 85.01.52.",0
84.64,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.64 from any other heading, except from subheading 84.66.91; or A change to heading 84.64 from subheading 84.66.91, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.65,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.65 from any other heading, except from subheading 84.66.92; or A change to heading 84.65 from subheading 84.66.92, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.66,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to heading 84.66 from any other heading,0
84.67.11-84.67.19,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.67.11 through 84.67.19 from any other heading; or A change to subheading 84.67.11 through 84.67.19 from subheading 84.67.91 or 84.67.92, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.67.21-84.67.29,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.67.21 through 84.67.29 from any subheading outside that group, except from housings of subheading 84.67.91 or 84.67.99 or heading 85.01; or A change to subheading 84.67.21 through 84.67.29 from housings of subheading 84.67.91 or 84.67.99 or heading 85.01, whether or not there is also a change from any subheading outside that group, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.67.81-84.67.89,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.67.81 through 84.67.89 from any other heading; or A change to subheading 84.67.81 through 84.67.89 from subheading 84.67.91 or 84.67.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.67.91-84.67.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.67.91 through 84.67.99 from any other heading,0
84.68.10-84.68.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.68.10 through 84.68.80 from any other heading; or A change to subheading 84.68.10 through 84.68.80 from subheading 84.68.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.68.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.68.90 from any other heading,0
84.69,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.69 from any other heading, except from heading 84.73; A change to heading 84.69 from heading 84.73, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.70,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.70 from any other heading, except from heading 84.73; or A change to heading 84.70 from heading 84.73, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.71.30-84.71.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to a good of any of subheading 84.71.30 through 84.71.90 from within that subheading or any other subheading, including another subheading within that group",0
84.72,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.72 from any other heading, except from heading 84.73; or A change to heading 84.72 from heading 84.73, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.73.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.73.10 from any other heading,0
84.73.21,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.73.21 from any other heading; or No required change in tariff classification to subheading 84.73.21, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.73.29,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.73.29 from any other heading; or No required change in tariff classification to subheading 84.73.29, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.73.30.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.73.30.aa from any other tariff item,0
84.73.30.bb,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.73.30.bb from any other tariff item,0
84.73.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.73.30 from any other heading,0
84.73.40,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.73.40 from any other heading; or No required change in tariff classification to subheading 84.73.40, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
