Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
85.40.12,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.40.12 from any other heading,"A change to subheading 85.40.12 from subheading 85.40.91, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.40.20,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.40.20 from any other heading,"A change to subheading 85.40.20 from subheading 85.40.91 through 85.40.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.40.40-85.40.60,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.40.40 through 85.40.60 from any subheading outside that group,,,0
85.40.71,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.40.71 from any other subheading,,,0
85.40.79,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to klystrons of subheading 85.40.79 from any other good within that subheading or any other subheading,A change to any other good of subheading 85.40.79 from klystrons within that subheading or any other subheading.,,0
85.40.81-85.40.89,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.40.81 through 85.40.89 from any other subheading, including another subheading within that group",,,0
85.40.91.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to tariff item 85.40.91.aa from any other tariff item,,,0
85.40.91,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.40.91 from any other heading,"No required change in tariff classification to subheading 85.40.91, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.40.99.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to tariff item 85.40.99.aa from any other tariff item,,,0
85.40.99,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.40.99 from any other heading,"No required change in tariff classification to subheading 85.40.99, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.43.10,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.43.10 from any other subheading, except from subheading 84.86.20",,,0
85.43.20-85.43.30,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.43.20 through 85.43.30 from any other subheading, including another subheading within that group",,,0
85.43.70,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.43.70 from any other subheading, except from “smart” cards, other than those containing a single integrated circuit, of subheading 85.23.59",,,0
85.43.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to any other good of subheading 85.43.90 from electronic microassemblies of subheading 85.43.90 or any other heading,"No required change in tariff classification to any other good of subheading 85.43.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.44.11-85.44.60,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.44.11 through 85.44.60 from any subheading outside that group, except from heading 74.08, 74.13, 76.05 or 76.14","A change to subheading 85.44.11 through 85.44.60 from any other subheading within that group or heading 74.08, 74.13, 76.05 or 76.14, whether or not there is also a change from any other subheading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.44.70,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.44.70 from any other subheading, except from heading 70.02 or 90.01","A change to subheading 85.44.70 from heading 70.02 or 90.01, whether or not there is also a change from any other subheading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.45.11-85.45.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.45.11 through 85.45.90 from any other subheading, including another subheading within that group",,,0
